Latitude,Longitude,Width (meters)
0.001271745,-91.48124517,544.5
0.001271745,-91.48124517,45
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,6
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,9
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,24
0.001271745,-91.48124517,18
0.001271745,-91.48124517,9
0.001271745,-91.48124517,9
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,15
0.001271745,-91.48124517,6.72
0.001271745,-91.48124517,9.48
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,6
0.001271745,-91.48124517,9
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,12.36
0.001271745,-91.48124517,15
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,12.36
0.001271745,-91.48124517,6
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,9.48
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,8.49
0.001271745,-91.48124517,6
0.001271745,-91.48124517,15
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,12.72
0.001271745,-91.48124517,63.57
0.001271745,-91.48124517,58.26
0.001271745,-91.48124517,77.88
0.001271745,-91.48124517,74.22
0.001271745,-91.48124517,16.17
0.001271745,-91.48124517,83.67
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,393.72
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,10.83
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,4.23
0.001271745,-91.48124517,6
0.001271745,-91.48124517,18
